index,PLAYER_NAME,PPP,GAME_COUNT
171,Garrett Temple,0.944761895,83
162,Ersan Ilyasova,0.944676658,86
179,Gerald Green,0.944131796,89
90,Damyean Dotson,0.943303095,80
41,Bogdan Bogdanovic,0.941066434,71
493,Trevor Ariza,0.939815094,73
290,Justin Jackson,0.93847539,83
166,Frank Kaminsky,0.93749122,80
55,C.J. Williams,0.937483753,30
229,Jared Dudley,0.937216616,73
395,Noah Vonleh,0.936883685,69
183,Gordon Hayward,0.936519611,81
49,Brandon Sampson,0.93585978,20
111,DeMarre Carroll,0.934605109,74
397,OG Anunoby,0.934141461,72
135,Donovan Mitchell,0.933901922,82
323,Kyle Lowry,0.932876319,93
272,Jonathan Isaac,0.931817797,80
231,Jarell Martin,0.931371628,85
64,Chandler Hutchison,0.931214771,53
63,Cedi Osman,0.930929678,78
236,Jason Smith,0.929550418,60
29,Aron Baynes,0.928191461,61
479,Thon Maker,0.927993833,83
110,DeMarcus Cousins,0.927864,38
0,Aaron Gordon,0.927681975,84
330,Langston Galloway,0.927419119,86
72,Chris Paul,0.927333301,75
450,Shai Gilgeous-Alexander,0.926604449,88
522,Wes Iwundu,0.926406629,87
461,Sterling Brown,0.926267959,85
415,Quinn Cook,0.924069578,104
255,Jodie Meeks,0.923572022,36
40,Bobby Portis,0.922220309,51
274,Jordan Bell,0.920546268,102
1,Aaron Holiday,0.919220246,86
258,Joe Ingles,0.919080155,87
339,Luka Doncic,0.919052808,74
114,Delon Wright,0.917303189,76
170,Furkan Korkmaz,0.917283549,68
105,De'Aaron Fox,0.916942716,82
14,Allonzo Trier,0.916683845,65
443,Sam Dekker,0.916136418,68
532,Zach Collins,0.915583004,98
474,Thabo Sefolosha,0.91556491,71
123,Derrick White,0.915113447,75
261,John Henson,0.911562288,14
520,Wendell Carter Jr.,0.911484364,46
215,Jabari Parker,0.909670813,78
348,MarShon Brooks,0.909640601,37
513,Victor Oladipo,0.909420648,36
136,Donte DiVincenzo,0.908454168,41
504,Tyler Johnson,0.90811503,64
488,Torrey Craig,0.907735876,95
494,Trey Burke,0.906360654,72
308,Kevin Huerter,0.906116146,78
169,Fred VanVleet,0.905218939,89
421,Raymond Felton,0.903686758,87
228,James Nunnally,0.903529304,42
266,Johnathan Williams,0.903004855,32
28,Antonio Blakeney,0.902234076,80
280,Josh Hart,0.901450934,71
442,Salah Mejri,0.900240816,75
116,Deng Adel,0.899814962,25
77,Collin Sexton,0.899565879,82
254,Joakim Noah,0.899446861,51
163,Evan Fournier,0.898783725,86
82,D'Angelo Russell,0.898283816,87
354,Marcus Smart,0.8968571,82
117,Dennis Schroder,0.894365354,86
13,Allen Crabbe,0.893948225,43
435,Royce O'Neale,0.893644391,87
391,Nik Stauskas,0.893063082,78
57,CJ Miles,0.892105587,62
511,Tyus Jones,0.891815357,72
22,Andrew Wiggins,0.890073964,75
464,T.J. McConnell,0.889909879,94
202,Isaiah Hartenstein,0.889220748,49
289,Justin Holiday,0.887900512,82
503,Tyler Dorsey,0.887650149,69
132,Dirk Nowitzki,0.886726059,53
190,Harry Giles III,0.885459608,70
247,Jeremy Lin,0.885362858,98
125,Devin Harris,0.884553279,72
380,Mo Bamba,0.879927573,50
157,Emmanuel Mudiay,0.878718548,61
519,Wayne Selden,0.878679794,80
248,Jerian Grant,0.878165052,87
285,Juancho Hernangomez,0.877468846,96
528,Wilson Chandler,0.876079451,60
131,Dion Waiters,0.875884525,47
489,Trae Young,0.875281228,82
104,Davon Reed,0.875,20
165,Frank Jackson,0.873923816,76
451,Shake Milton,0.873809928,33
61,Caris LeVert,0.873288686,45
148,Dwyane Wade,0.872818128,75
181,Glenn Robinson III,0.872288013,74
195,Ian Mahinmi,0.871455851,82
172,Gary Clark,0.868546478,90
357,Markieff Morris,0.868362971,65
414,Quincy Pondexter,0.867955154,89
292,Justise Winslow,0.867450946,68
6,Alec Burks,0.866142506,77
367,Michael Beasley,0.86592993,46
288,Justin Anderson,0.864763195,65
432,Rodney McGruder,0.864610327,74
2,Abdel Nader,0.863625731,85
30,Austin Rivers,0.863113168,89
282,Josh Okogie,0.861895903,82
457,Solomon Hill,0.861871723,81
495,Trey Lyles,0.859406035,84
473,Terry Rozier,0.857920946,88
497,Troy Brown Jr.,0.857860058,72
341,Luke Kornet,0.855381738,63
299,Keita Bates-Diop,0.852835193,57
211,JR Smith,0.848753711,14
264,John Wall,0.846731132,34
243,Jeff Teague,0.845915315,50
197,Iman Shumpert,0.845158489,83
84,D.J. Wilson,0.843554266,71
48,Brandon Knight,0.841326472,53
328,Lance Thomas,0.8411122,63
426,Ricky Rubio,0.839871914,74
187,Guerschon Yabusele,0.839870952,81
535,Zaza Pachulia,0.839647393,82
96,Dante Exum,0.838127914,43
192,Haywood Highsmith,0.837199313,10
399,Omari Spellman,0.837194312,51
452,Shaquille Harrison,0.835471591,80
