,level_0,index,PLAYER_NAME,player_impact_estimate,GAME_COUNT
219,219,405,Pat Connaughton,7.506983151,96
220,220,452,Shaquille Harrison,7.503236756,80
221,221,247,Jeremy Lin,7.492966843,98
222,222,205,Ish Smith,7.453451586,60
223,223,375,Miles Bridges,7.450978326,82
224,224,176,George Hill,7.43214912,85
225,225,220,Jakob Poeltl,7.419477008,88
226,226,39,Boban Marjanovic,7.407319794,91
227,227,73,Christian Wood,7.400615502,39
228,228,400,Omri Casspi,7.367902398,44
229,229,309,Kevin Knox II,7.349394215,75
230,230,52,Bruno Caboclo,7.317300911,34
231,231,364,Maxi Kleber,7.307422582,73
232,232,5,Alan Williams,7.154889143,10
233,233,68,Cheick Diallo,7.144987899,74
234,234,126,Devin Robinson,7.083582197,13
235,235,363,Maurice Harkless,7.033299609,83
236,236,103,Davis Bertans,7.021949647,86
237,237,64,Chandler Hutchison,6.988679909,53
238,238,138,Dorian Finney-Smith,6.887356679,81
239,239,342,Luol Deng,6.864670609,61
240,240,432,Rodney McGruder,6.838346556,74
241,241,206,Ivan Rabb,6.80751616,76
242,242,454,Shelvin Mack,6.749541406,79
243,243,464,T.J. McConnell,6.742409262,94
244,244,351,Marco Belinelli,6.71025299,88
245,245,357,Markieff Morris,6.706587881,65
246,246,184,Gorgui Dieng,6.653440752,80
247,247,227,James Johnson,6.634041816,63
248,248,223,Jamal Crawford,6.626808647,76
249,249,311,Kevon Looney,6.626131322,102
250,250,97,Danuel House Jr.,6.614596207,50
251,251,366,Meyers Leonard,6.613547637,98
252,252,378,Mitchell Creek,6.61319125,13
253,253,280,Josh Hart,6.550546323,71
254,254,59,Cameron Payne,6.534747875,47
255,255,410,Pau Gasol,6.519516584,45
256,256,350,Marcin Gortat,6.51630526,55
257,257,380,Mo Bamba,6.484739403,50
258,258,121,Derrick Jones Jr.,6.454640737,73
259,259,193,Henry Ellenson,6.445662927,34
260,260,508,Tyreke Evans,6.383292267,76
261,261,399,Omari Spellman,6.353474926,51
262,262,290,Justin Jackson,6.293764366,83
263,263,304,Kenrich Williams,6.281897552,54
264,264,495,Trey Lyles,6.221031907,84
265,265,261,John Henson,6.175023845,14
266,266,312,Khem Birch,6.134273483,87
267,267,396,Norman Powell,6.113510331,84
268,268,102,David Nwaba,6.09742928,56
271,271,430,Rodions Kurucs,6.014488965,80
272,272,388,Nerlens Noel,6.008370019,84
273,273,327,Lance Stephenson,5.954319955,75
274,274,31,Avery Bradley,5.886651591,66
276,276,13,Allen Crabbe,5.830836466,43
278,278,106,De'Anthony Melton,5.757809824,57
279,279,514,Vince Carter,5.72395073,81
280,280,435,Royce O'Neale,5.716964702,87
281,281,140,Dragan Bender,5.697675812,82
282,282,373,Mike Muscala,5.667638278,74
283,283,480,Tim Frazier,5.647316985,89
284,284,362,Matthew Dellavedova,5.643150523,62
285,285,443,Sam Dekker,5.615099262,68
286,286,356,Markelle Fultz,5.596178624,19
287,287,376,Miles Plumlee,5.586992665,29
288,288,510,Tyson Chandler,5.578994783,69
289,289,330,Langston Galloway,5.577277873,86
290,290,530,Yogi Ferrell,5.547215584,82
291,291,203,Isaiah Hicks,5.476491762,10
292,292,321,Kyle Korver,5.445342594,76
293,293,37,Bismack Biyombo,5.44106908,68
294,294,329,Landry Shamet,5.407423197,86
295,295,459,Stanley Johnson,5.381389854,78
296,296,219,Jake Layman,5.375213871,98
297,297,285,Juancho Hernangomez,5.300099263,96
298,298,370,Michael Kidd-Gilchrist,5.27569618,70
299,299,65,Chandler Parsons,5.228983771,42
300,300,347,Malik Monk,5.226867513,82
301,301,171,Garrett Temple,5.20585103,83
302,302,368,Michael Carter-Williams,5.1976773,54
303,303,532,Zach Collins,5.165467603,98
